OBJECTID;Name;FolderPath;SymbolID;AltMode;Base;Clamped;Extruded;Snippet;PopupInfo;ORIG_FID;CordX;CordY
38;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,187261106999927;-4,041965556999912
39;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,187883670999952;-4,041640876999907
40;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,188307253999938;-4,041507140999954
41;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,189089221999950;-4,041677017999916
42;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,189817030999905;-4,041420891999906
43;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190256296999905;-4,041308544999936
44;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190295103999915;-4,040922278999915
45;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190286039999933;-4,040829456999916
46;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190333086999942;-4,040749057999960
47;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190449291999926;-4,040688244999956
48;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190692288999912;-4,040779806999922
49;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190979937999941;-4,040859796999939
50;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,191260142999909;-4,040871149999930
51;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,191462470999909;-4,040871150999919
52;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,191530511999929;-4,040854116999924
53;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,191533557999946;-4,040616995999926
54;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,191340740999919;-4,040486339999916
55;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190976975999945;-4,040279521999935
56;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190669433999915;-4,040110894999941
57;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190579130999936;-4,040028273999951
58;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190537415999927;-4,039938232999930
59;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,190829382999937;-4,039820812999949
60;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,191595963999930;-4,039787858999944
61;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,191883759999939;-4,039748117999920
62;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,192689447999896;-4,039463817999945
63;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,193807055999912;-4,039359586999922
64;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,194421190999947;-4,039239711999926
65;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,194558921999942;-4,038992381999947
66;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,194920761999924;-4,038684252999929
67;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,195159741999930;-4,038563124999939
68;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,195510621999915;-4,038370063999935
69;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,195617863999928;-4,038044182999954
70;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,195869355999946;-4,037816237999948
71;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,195965537999939;-4,037723417999928
72;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,196194792999904;-4,037552719999951
73;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,196492089999936;-4,037469144999932
74;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,196835680999925;-4,037238431999924
75;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,197112254999922;-4,037064631999954
76;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,197339209999939;-4,036778610999932
77;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,197356897999953;-4,036751641999956
78;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,197346839999909;-4,036623038999949
79;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,197347733999948;-4,036539915999924
80;Area microcuenca;SS_PUEAR.kmz/Puntos_PUEAR;0;0;0,000000000000000;-1;0;;;1;-79,197304319999944;-4,036467859999959
